id,theme,source,rubric_source,model_used,argument_text,score
4227a025,A monarchy is preferable to any other form of government.,winning_human,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,The First round shall be for acceptance The second...,4
4227a025,A monarchy is preferable to any other form of government.,losing_human,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and shall prove that their ar...,4
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gpt5,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and will show that there are ...,4
4227a025,A monarchy is preferable to any other form of government.,improve_gpt5,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Monarchy provides a superior framework for governa...,5
4227a025,A monarchy is preferable to any other form of government.,generate_gpt5,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,"Monarchy, properly structured as a constitutional ...",5
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gpt4o,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and will demonstrate that the...,4
4227a025,A monarchy is preferable to any other form of government.,improve_gpt4o,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and shall demonstrate that fo...,4
4227a025,A monarchy is preferable to any other form of government.,generate_gpt4o,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,A monarchy is preferable to any other form of gove...,4
4227a025,A monarchy is preferable to any other form of government.,paraphrase_qwen,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and will demonstrate that alt...,4
4227a025,A monarchy is preferable to any other form of government.,improve_qwen,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and shall prove that there ar...,4
4227a025,A monarchy is preferable to any other form of government.,generate_qwen,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and shall prove that other fo...,4
4227a025,A monarchy is preferable to any other form of government.,paraphrase_llama,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and will demonstrate that alt...,4
4227a025,A monarchy is preferable to any other form of government.,improve_llama,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and intend to prove that ther...,4
4227a025,A monarchy is preferable to any other form of government.,generate_llama,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and shall prove that monarchi...,4
4227a025,A monarchy is preferable to any other form of government.,paraphrase_mistral,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,"In this debate, I will argue that there are altern...",4
4227a025,A monarchy is preferable to any other form of government.,improve_mistral,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,"In this debate, I will argue that alternative form...",4
4227a025,A monarchy is preferable to any other form of government.,generate_mistral,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,"In this debate, I advocate for the proposition tha...",4
4227a025,A monarchy is preferable to any other form of government.,paraphrase_sonnet,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and will demonstrate that oth...,4
4227a025,A monarchy is preferable to any other form of government.,improve_sonnet,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and will prove that there are...,4
4227a025,A monarchy is preferable to any other form of government.,generate_sonnet,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and will demonstrate that mul...,4
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gemini,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,The debater accepts the debate and intends to demo...,4
4227a025,A monarchy is preferable to any other form of government.,improve_gemini,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and will prove that other for...,4
4227a025,A monarchy is preferable to any other form of government.,generate_gemini,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,"Firstly, for societies deeply rooted in spiritual ...",4
ba1c6225,Abortion is a human right.,winning_human,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Abortion should not be legal through all trimester...,4
ba1c6225,Abortion is a human right.,losing_human,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women have a moral right to decide what to do with...,4
ba1c6225,Abortion is a human right.,paraphrase_gpt5,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women have a moral prerogative to decide what to d...,4
ba1c6225,Abortion is a human right.,improve_gpt5,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Abortion is a fundamental human right because it s...,4
ba1c6225,Abortion is a human right.,generate_gpt5,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Abortion is a human right because it is rooted in ...,5
ba1c6225,Abortion is a human right.,paraphrase_gpt4o,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women possess a fundamental moral authority to det...,4
ba1c6225,Abortion is a human right.,improve_gpt4o,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women possess an inherent moral right to govern th...,4
ba1c6225,Abortion is a human right.,generate_gpt4o,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Abortion is a human right because it fundamentally...,4
ba1c6225,Abortion is a human right.,paraphrase_qwen,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women possess a moral right to autonomy over their...,4
ba1c6225,Abortion is a human right.,improve_qwen,mistral.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women have a moral right to decide what to do with...,4
