source_row,proposition,A_source,B_source,answer_direct,answer_swapped,order_influenced_decision,chosen_source_normal,chosen_source_swap
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_text,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_claude,2,1,No,losing_generate_claude,losing_generate_claude
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_gemini,1,1,Yes,winning_text,losing_generate_gemini
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_gpt4omini,1,1,Yes,winning_text,losing_generate_gpt4omini
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_gpt5nano,1,1,Yes,winning_text,losing_generate_gpt5nano
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_llama,1,1,Yes,winning_text,losing_generate_llama
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_mistral,1,1,Yes,winning_text,losing_generate_mistral
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_qwen,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_claude,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_gemini,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_gpt4omini,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_gpt5nano,"2

(The first comment",1,No,losing_improve_gpt5nano,losing_improve_gpt5nano
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_llama,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_mistral,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_qwen,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_paraphrase_claude,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_paraphrase_gemini,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_paraphrase_gpt4omini,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_paraphrase_gpt5nano,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_paraphrase_llama,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_paraphrase_mistral,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_paraphrase_qwen,1,2,No,winning_text,winning_text
