row_id,A_source,B_source,direct_answer,swapped_answer,order_influenced_decision,topic,N2_raw,S2_raw,N3_raw,chosen_N1,chosen_S1,chosen_N2,chosen_S2,chosen_N3,majority_source,majority_count_of_5,normal_consistent
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_text,1,2,No,askacademia_train,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_claude,1,1,Yes,askacademia_train,1,1,1,winning_text,losing_generate_claude,winning_text,losing_generate_claude,winning_text,winning_text,3,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_gemini,1,2,Yes,askacademia_train,1,1,1,winning_text,winning_text,winning_text,losing_generate_gemini,winning_text,winning_text,4,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_gpt4omini,1,2,No,askacademia_train,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_gpt5nano,1,2,No,askacademia_train,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_llama,1,2,No,askacademia_train,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_mistral,1,2,No,askacademia_train,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_qwen,1,2,No,askacademia_train,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_improve_claude,2,2,Yes,askacademia_train,2,2,2,losing_improve_claude,winning_text,losing_improve_claude,winning_text,losing_improve_claude,losing_improve_claude,3,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_improve_gemini,2,2,Yes,askacademia_train,2,2,2,losing_improve_gemini,winning_text,losing_improve_gemini,winning_text,losing_improve_gemini,losing_improve_gemini,3,Yes
