custom_id,row_index,id,topic_column,topic,text_column,request_id,status_code,score_raw,score,error_code,error_message,input_tokens,output_tokens,total_tokens
score_17_row_0_winning_text,0,17,theme,NEJMoa1404037,winning_text,c328fab9-2cf6-465d-b22f-f4350d4c9fc2,200,4,4,,,317,1,318
score_17_row_0_losing_text,0,17,theme,NEJMoa1404037,losing_text,1a111992-299e-48c7-9abf-94a79771ac3a,200,4,4,,,298,1,299
score_17_row_0_losing_generate_claude,0,17,theme,NEJMoa1404037,losing_generate_claude,e1ba6452-15d4-42ef-8fa5-01a8493119dd,200,5,5,,,282,1,283
score_17_row_0_losing_generate_gemini,0,17,theme,NEJMoa1404037,losing_generate_gemini,b1aa535c-6856-4768-9e28-f662dda7ccfe,200,4,4,,,260,1,261
score_17_row_0_losing_generate_gpt4omini,0,17,theme,NEJMoa1404037,losing_generate_gpt4omini,b66a8b6a-b848-4a74-af1b-f352151c1678,200,4,4,,,301,1,302
score_17_row_0_losing_generate_gpt5nano,0,17,theme,NEJMoa1404037,losing_generate_gpt5nano,a284c343-ea2e-483a-b43d-058cc444af68,200,5,5,,,253,1,254
score_17_row_0_losing_generate_llama,0,17,theme,NEJMoa1404037,losing_generate_llama,27070915-d03d-4bfa-ab11-4136f0bac360,200,4,4,,,165,1,166
score_17_row_0_losing_generate_mistral,0,17,theme,NEJMoa1404037,losing_generate_mistral,4f2f4ef7-b6c4-4383-aebf-f7dd753b1787,200,4,4,,,229,1,230
score_17_row_0_losing_generate_qwen,0,17,theme,NEJMoa1404037,losing_generate_qwen,1dbd81aa-b4f7-43e2-a35b-5f517ce170aa,200,4,4,,,218,1,219
score_17_row_0_losing_improve_claude,0,17,theme,NEJMoa1404037,losing_improve_claude,56400c8d-3aed-42b2-8cf8-d7189994fc6b,200,4,4,,,271,1,272
score_17_row_0_losing_improve_gpt4omini,0,17,theme,NEJMoa1404037,losing_improve_gpt4omini,3863ada3-f2ac-4f54-921e-904fb7025da1,200,4,4,,,303,1,304
score_17_row_0_losing_improve_gpt5nano,0,17,theme,NEJMoa1404037,losing_improve_gpt5nano,46a49ef4-485c-461c-ac3f-8737d320582c,200,5,5,,,237,1,238
score_17_row_0_losing_improve_llama,0,17,theme,NEJMoa1404037,losing_improve_llama,a4788f34-2bba-4a5e-b7b5-bcf1d00522b5,200,4,4,,,243,1,244
score_17_row_0_losing_improve_mistral,0,17,theme,NEJMoa1404037,losing_improve_mistral,4724ff71-2785-43c0-b4a1-e7d1a55a4e51,200,4,4,,,225,1,226
score_17_row_0_losing_improve_qwen,0,17,theme,NEJMoa1404037,losing_improve_qwen,feb72fa4-ed65-401b-8a9a-4f6cf8e91c17,200,4,4,,,219,1,220
