id,proposition,argument_type,score,custom_id,row_index,topic_column,request_id,status_code,score_raw,error_code,error_message,input_tokens,output_tokens,total_tokens
17,NEJMoa1404037,winning_text,4,score_17_row_0_winning_text,0,theme,c328fab9-2cf6-465d-b22f-f4350d4c9fc2,200,4,,,317,1,318
17,NEJMoa1404037,losing_text,4,score_17_row_0_losing_text,0,theme,1a111992-299e-48c7-9abf-94a79771ac3a,200,4,,,298,1,299
17,NEJMoa1404037,losing_generate_claude,5,score_17_row_0_losing_generate_claude,0,theme,e1ba6452-15d4-42ef-8fa5-01a8493119dd,200,5,,,282,1,283
17,NEJMoa1404037,losing_generate_gemini,4,score_17_row_0_losing_generate_gemini,0,theme,b1aa535c-6856-4768-9e28-f662dda7ccfe,200,4,,,260,1,261
17,NEJMoa1404037,losing_generate_gpt4omini,4,score_17_row_0_losing_generate_gpt4omini,0,theme,b66a8b6a-b848-4a74-af1b-f352151c1678,200,4,,,301,1,302
17,NEJMoa1404037,losing_generate_gpt5nano,5,score_17_row_0_losing_generate_gpt5nano,0,theme,a284c343-ea2e-483a-b43d-058cc444af68,200,5,,,253,1,254
17,NEJMoa1404037,losing_generate_llama,4,score_17_row_0_losing_generate_llama,0,theme,27070915-d03d-4bfa-ab11-4136f0bac360,200,4,,,165,1,166
17,NEJMoa1404037,losing_generate_mistral,4,score_17_row_0_losing_generate_mistral,0,theme,4f2f4ef7-b6c4-4383-aebf-f7dd753b1787,200,4,,,229,1,230
17,NEJMoa1404037,losing_generate_qwen,4,score_17_row_0_losing_generate_qwen,0,theme,1dbd81aa-b4f7-43e2-a35b-5f517ce170aa,200,4,,,218,1,219
17,NEJMoa1404037,losing_improve_claude,4,score_17_row_0_losing_improve_claude,0,theme,56400c8d-3aed-42b2-8cf8-d7189994fc6b,200,4,,,271,1,272
17,NEJMoa1404037,losing_improve_gpt4omini,4,score_17_row_0_losing_improve_gpt4omini,0,theme,3863ada3-f2ac-4f54-921e-904fb7025da1,200,4,,,303,1,304
17,NEJMoa1404037,losing_improve_gpt5nano,5,score_17_row_0_losing_improve_gpt5nano,0,theme,46a49ef4-485c-461c-ac3f-8737d320582c,200,5,,,237,1,238
17,NEJMoa1404037,losing_improve_llama,4,score_17_row_0_losing_improve_llama,0,theme,a4788f34-2bba-4a5e-b7b5-bcf1d00522b5,200,4,,,243,1,244
17,NEJMoa1404037,losing_improve_mistral,4,score_17_row_0_losing_improve_mistral,0,theme,4724ff71-2785-43c0-b4a1-e7d1a55a4e51,200,4,,,225,1,226
17,NEJMoa1404037,losing_improve_qwen,4,score_17_row_0_losing_improve_qwen,0,theme,feb72fa4-ed65-401b-8a9a-4f6cf8e91c17,200,4,,,219,1,220
17,NEJMoa1404037,losing_paraphrase_claude,5,score_17_row_0_losing_paraphrase_claude,0,theme,455a113e-3e84-4e19-9df4-984bf07daa64,200,5,,,284,1,285
17,NEJMoa1404037,losing_paraphrase_gemini,4,score_17_row_0_losing_paraphrase_gemini,0,theme,28766235-a931-4aa3-94c8-41371c8b7abb,200,4,,,203,1,204
17,NEJMoa1404037,losing_paraphrase_gpt4omini,4,score_17_row_0_losing_paraphrase_gpt4omini,0,theme,88cde4ca-bd1c-48fd-8418-e4bd59828239,200,4,,,289,1,290
