id,proposition,argument_type,score,custom_id,row_index,topic_column,request_id,status_code,score_raw,error_code,error_message,input_tokens,output_tokens,total_tokens
17,NEJMoa1404037,winning_text,4,score_17_row_0_winning_text,0,theme,70ad90f8-18c3-4a8f-89b5-e1e73d860c83,200,4,,,359,1,360
17,NEJMoa1404037,losing_text,3,score_17_row_0_losing_text,0,theme,dd0df206-5b5b-4909-8dfd-721171f42c48,200,3,,,340,1,341
17,NEJMoa1404037,losing_generate_claude,5,score_17_row_0_losing_generate_claude,0,theme,41327ec6-e6fd-4b7d-9395-462b69c59703,200,5,,,324,1,325
17,NEJMoa1404037,losing_generate_gemini,5,score_17_row_0_losing_generate_gemini,0,theme,6c60ddfc-6360-4212-b580-6c98e6f63abe,200,5,,,302,1,303
17,NEJMoa1404037,losing_generate_gpt4omini,5,score_17_row_0_losing_generate_gpt4omini,0,theme,af3af594-6d53-4e3a-9cb4-8d9d93b02d2f,200,5,,,343,1,344
17,NEJMoa1404037,losing_generate_gpt5nano,5,score_17_row_0_losing_generate_gpt5nano,0,theme,cafb5de4-33a1-4408-ac52-35a5c374fe7e,200,5,,,295,1,296
17,NEJMoa1404037,losing_generate_llama,4,score_17_row_0_losing_generate_llama,0,theme,c6cbad2d-fcdc-4a3e-bb29-5ed71044f175,200,4,,,207,1,208
17,NEJMoa1404037,losing_generate_mistral,4,score_17_row_0_losing_generate_mistral,0,theme,696019c8-29b8-43a0-8353-1ea4d8952c48,200,4,,,271,1,272
17,NEJMoa1404037,losing_generate_qwen,4,score_17_row_0_losing_generate_qwen,0,theme,445eff37-ff1a-441d-bcd3-b51ba934276b,200,4,,,260,1,261
17,NEJMoa1404037,losing_improve_claude,4,score_17_row_0_losing_improve_claude,0,theme,50aac2b4-7a4c-4269-b7c0-183b9292097d,200,4,,,313,1,314
17,NEJMoa1404037,losing_improve_gpt4omini,4,score_17_row_0_losing_improve_gpt4omini,0,theme,a8d0220b-1f0b-45e7-a1e9-d18fbc2d0325,200,4,,,345,1,346
17,NEJMoa1404037,losing_improve_gpt5nano,5,score_17_row_0_losing_improve_gpt5nano,0,theme,a6e2e4be-dac2-4ab6-aaf8-0b1a51a1408c,200,5,,,279,1,280
